molecule_chembl_id,activity_label,standard_value,standard_units,target_chembl_id,assay_chembl_id,rdkit_canonical_smiles
CHEMBL1782163,0,11330.0,nM,CHEMBL364,CHEMBL1785111,CC1(C)N=C(N)N=C(NCCCOc2ccc(Cl)cc2)N1.Cl
CHEMBL547245,1,677.75,nM,CHEMBL364,CHEMBL1054503,COc1ccc(CCn2c(=N)c(C(=O)NC3CCCC3)cc3c(=O)n4ccccc4nc32)cc1
CHEMBL5419910,0,899230.0,nM,CHEMBL364,CHEMBL5345197,CCOC(=O)N1CCN(CCNc2ccnc3cc(Cl)ccc23)CC1
CHEMBL583029,1,49.5,nM,CHEMBL364,CHEMBL1048019,COc1ccc(Br)cc1C1CC(c2ccc(O)cc2)=NN1C(=O)c1cccnc1
CHEMBL479432,1,0.076,nM,CHEMBL364,CHEMBL3240059,O=C(C[C@@H]1NCCC[C@H]1O)Cn1cnc2ccccc2c1=O
CHEMBL377818,0,15000.0,nM,CHEMBL364,CHEMBL869198,N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)c(C(F)(F)F)c2)cc1
CHEMBL5565848,1,30.0,nM,CHEMBL364,CHEMBL5530915,C[C@H]1CN(C)CC[C@H]1c1cc(-c2ccncc2)c(-c2ccc(F)cc2)[nH]1.Cl.Cl
CHEMBL5639413,0,25000.0,nM,CHEMBL364,CHEMBL5637580,Cc1ccc(-c2cc3nc(N4CCCCC4)[nH]c(=O)c3s2)cc1
CHEMBL1774618,0,32000.0,nM,CHEMBL364,CHEMBL1776684,O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1C1CCNCC1
CHEMBL522958,0,20400.0,nM,CHEMBL364,CHEMBL944269,NC1CCC(S(=O)(=O)c2cc(O)c3ccccc3c2O)CC1
CHEMBL7130,1,0.0,nM,CHEMBL364,CHEMBL1217000,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
CHEMBL3216688,1,118.0,nM,CHEMBL364,CHEMBL1046935,CC(C)NC(=N)c1cccc(-c2cn(-c3cccc(C(=N)NC(C)C)c3)nn2)c1.Cl.Cl
CHEMBL534008,1,900.42,nM,CHEMBL364,CHEMBL1054503,Fc1c(CNCC2CCN(CC3CCCCC3)CC2)cccc1C(F)(F)F.O=C(O)C(F)(F)F
