molecule_chembl_id,activity_label,standard_value,standard_units,target_chembl_id,assay_chembl_id,rdkit_canonical_smiles
CHEMBL3138114,1,59.35,nM,CHEMBL364,CHEMBL754074,CC(=O)O[C@H]1C[C@H]2[C@@H]([C@H](OC(C)=O)C[C@@H]3C[C@]4(CC[C@@]32C)OO[C@]2(CC[C@@]3(C)[C@H](C[C@@H](OC(C)=O)[C@@H]5[C@@H]3C[C@H](OC(C)=O)[C@]3(C)[C@@H](C(C)CCC(N)=O)CC[C@@H]53)C2)OO4)[C@@H]2CC[C@H](C(C)CCC(N)=O)[C@@]12C
CHEMBL531156,1,732.52,nM,CHEMBL364,CHEMBL1054503,COc1ccc(-c2cccc(NC(=O)c3ccccc3)c2)cc1CN1CCCN(C)CC1.O=C(O)C(F)(F)F
CHEMBL1076050,1,115.83,nM,CHEMBL364,CHEMBL1115717,CNc1nc(Nc2ccc(F)cc2)nc(Nc2ccc(Nc3c4ccc(Cl)cc4nc4ccc(OC)cc34)cc2)n1
CHEMBL528482,1,913.44,nM,CHEMBL364,CHEMBL1054503,CC(=O)c1cc(N2CCOCC2)ccc1N
CHEMBL2207906,0,10060.0,nM,CHEMBL364,CHEMBL4143004,Cc1cc(C)c(Nc2nc(NCCCCCCCCCCNc3nc(Nc4ccc(C#N)cc4)nc(Nc4c(C)cc(C)cc4C)n3)nc(Nc3ccc(C#N)cc3)n2)c(C)c1
CHEMBL1780232,1,11.0,nM,CHEMBL364,CHEMBL1780440,CCN(CC)c1ccc2nc3c4ccc(Br)cc4/c(=N/c4ccncc4)cc-3oc2c1
CHEMBL603010,1,171.7,nM,CHEMBL364,CHEMBL1040692,COc1ccc(-[n+]2cc(-c3ccc(Br)cc3)n3c2SCCC3)cc1.[Br-]
CHEMBL585778,1,33.7,nM,CHEMBL364,CHEMBL1040692,Cn1c(SCCCCNC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)nc(-c2ccccc2)c1-c1ccccc1
CHEMBL1956291,1,2.9,nM,CHEMBL364,CHEMBL4812776,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(F)(F)F)nc2n1
CHEMBL532587,1,997.37,nM,CHEMBL364,CHEMBL1054503,COc1ccc(CCNCCCCCCNCCc2cccc([N+](=O)[O-])c2)cc1OC.Cl
CHEMBL4640629,1,0.5,nM,CHEMBL364,CHEMBL4616744,C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)Cc3ccccc3)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL5169850,1,56.98,nM,CHEMBL364,CHEMBL5104469,CCC1CCN(CC(CC(C)C)Nc2ccnc3cc(Cl)ccc23)CC1
CHEMBL537292,1,353.15,nM,CHEMBL364,CHEMBL1054503,Nc1ccc(-c2ccc3ccnc(N)c3c2)cn1.O=C(O)C(F)(F)F
CHEMBL548847,1,584.59,nM,CHEMBL364,CHEMBL1054503,CN(C)CCNC(=O)NC1CN(c2ncnc3cc(-c4ccccc4)sc23)C1.O=C(O)C(F)(F)F
CHEMBL546703,1,139.34,nM,CHEMBL364,CHEMBL1054503,O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCN(c2ccnc3cc(Cl)ccc23)C1.O=C(O)C(F)(F)F
CHEMBL258893,0,15848.93,nM,CHEMBL364,CHEMBL1267245,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC.[Cl-]
CHEMBL6120807,1,27.1,nM,CHEMBL364,CHEMBL6097218,Cl.O=C(NO)c1cnc(N[C@H]2CC[C@@H](NCc3cnc4ccccc4c3)CC2)nc1
CHEMBL328331,1,1.97,nM,CHEMBL364,CHEMBL763697,CCC(C)c1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O
CHEMBL593116,1,780.0,nM,CHEMBL364,CHEMBL1069990,COc1cc(CNc2nc(C)cc(NCc3ccccc3)n2)cc(OC)c1OC
CHEMBL5268961,1,57.23,nM,CHEMBL364,CHEMBL5250373,CCCCS(=O)(=O)N1CCC2(CC1)OOC1(CCCCC1)OO2
CHEMBL3104732,1,400.0,nM,CHEMBL364,CHEMBL3107617,Cc1cc(O)c2c(c1)C(=O)c1ccc(C3(O)c4cccc(O)c4C(=O)c4c(O)cc(C)cc43)c(O)c1C2=O
CHEMBL582654,0,12500.0,nM,CHEMBL364,CHEMBL1040691,C=C(Cl)CSc1nnc(CCNC(=O)c2ccc(C)cc2)n1-c1ccc(F)cc1
CHEMBL527272,1,439.96,nM,CHEMBL364,CHEMBL1054503,COc1ccc2c(=O)c(I)c(C)[nH]c2c1
CHEMBL3401709,1,9.0,nM,CHEMBL364,CHEMBL3405931,Clc1ccc2c(NCCCNCc3ccc(-c4cccnc4)s3)ccnc2c1
CHEMBL4450329,1,320.0,nM,CHEMBL364,CHEMBL4369742,CCN(CCNc1nc2ccccc2[nH]1)Cc1cc(OC)ccc1O
CHEMBL588667,1,328.0,nM,CHEMBL364,CHEMBL1040691,COc1ccc(OCC(O)CNC2CCN(CC(O)COc3ccc(Cl)c(Cl)c3)CC2)cc1
CHEMBL4854362,1,390.0,nM,CHEMBL364,CHEMBL4811839,CC[C@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)C(C)(C)NC(=O)[C@@H]1CCCCN1C(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)CNC(=O)CCNC(=O)[C@H](CC(C)C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)[C@@H]1CCCCN1C(=O)C(C)(C)NC(=O)[C@@H]1CCCCN1C(C)=O)C(=O)N[C@@H](CC(C)C)C[N+]1=C2CCCN2CCC1
CHEMBL301954,0,200000.0,nM,CHEMBL364,CHEMBL769481,CC(C)N(C(C)C)C(P(=O)(O)O)P(=O)(O)O
CHEMBL3603877,1,145.0,nM,CHEMBL364,CHEMBL3606488,CCCN(C)C(=O)n1cnc(S(=O)(=O)[C@@H]2C[C@H]3CC[C@@H]2C3)n1
CHEMBL536638,1,596.97,nM,CHEMBL364,CHEMBL1054503,COc1ccc2nccc(NCC3(O)CCN(CCc4ccc5c(c4)OCCO5)CC3)c2n1.Cl
