molecule_chembl_id,rdkit_canonical_smiles,pIC50,pIC50_range,n_measurements,target_chembl_id,assay_chembl_id
CHEMBL4647549,COC(=O)c1cccc(COc2ccc([N+](=O)[O-])cc2)c1,4.455931955649724,0.0,1,CHEMBL6065,CHEMBL4625598
CHEMBL3449959,Cc1cc(C)c2cc(CNC(C)C)c3nn(C)c(=O)n3c2c1,4.752329851106257,0.0333053481308613,2,CHEMBL4105939,CHEMBL4649965
CHEMBL574967,O=C(N/N=C/c1ccc(O)cc1)c1ccc(N2CCOCC2)cc1,0.1157000000021558,0.0,1,CHEMBL360,CHEMBL1040362
CHEMBL3828771,CCc1nc(N)nc(N)c1C#CCc1cc(OC)cc(-c2ccc(C(=O)O)cc2)c1,6.337242168318426,0.0,1,CHEMBL6065,CHEMBL5234352
CHEMBL4163218,CNC(=O)CN(C(=O)Cc1ccc(-n2cccn2)cc1)C1CCN(c2ccccn2)CC1,5.229147988357856,0.0,1,CHEMBL1849,CHEMBL4147603
CHEMBL5077530,CC(=O)c1c(-c2ccc(O)cn2)oc2ccc(O)c(CN3CCC3)c12,6.657577319177793,0.0,1,CHEMBL4105939,CHEMBL5038057
CHEMBL4649838,O=C(O)C(=O)Nc1ccc(C#Cc2ccc(OC(F)(F)F)cc2)cc1,7.568636235841013,0.0,2,CHEMBL4295521,CHEMBL4626292
CHEMBL4294511,COc1ccc(NC(=S)N/N=C/c2ccc([N+](=O)[O-])cc2)cc1,4.82102305270683,0.0,1,CHEMBL4542,CHEMBL4265149
CHEMBL259138,CCCCCCc1ccc(Oc2ccncc2)c(O)c1,4.499940008594124,4.591880017499902,2,CHEMBL1849,CHEMBL936672
CHEMBL4521507,O=S(=O)(Nc1ccc2oc(-c3ccccc3)nc2c1)c1cccc(C(F)(F)F)c1,4.113509274827518,0.0,1,CHEMBL4295521,CHEMBL4388634
CHEMBL3741497,COc1cnc2ccc(=O)n(CCN3CCN(Cc4ccccc4)CC3)c2c1,6.026872146400302,0.0,1,CHEMBL3430898,CHEMBL3745429
CHEMBL3637822,CCCCc1ccc(C(=O)Nc2nnc(S(=O)(=O)CCCC)s2)nc1,5.100000128334196,0.0,1,CHEMBL613086,CHEMBL3637832
CHEMBL3764150,Cc1nc2sccn2c1C(=O)NNC(=O)C1CCCCC1,5.269217724333611,0.0,1,CHEMBL6069,CHEMBL3766329
CHEMBL1823503,O=C(Cc1ccccc1)NCC#Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[Na+].[Na+],5.136677139879544,0.0,1,CHEMBL1795161,CHEMBL1827108
CHEMBL3503260,CC(C)Nc1nc2c(cc1C(=O)NCC1CC1)CCN(CC1CC1)CC2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,4.640495916694535,0.3850692377325471,2,CHEMBL4105939,CHEMBL4649965
CHEMBL1321572,CS(=O)(=O)c1ccc2c(c1)SC1=NC(=O)/C(=C/c3ccc(O)c(O)c3)C(=N)N12,3.798357118161775,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL541190,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,4.889999848866887,0.0,1,CHEMBL360,CHEMBL1030449
CHEMBL3883371,O=C(Nc1ccccc1)N1CCN(c2nc(=O)c3cc(C(F)(F)F)ccc3s2)CC1,4.960585880823863,0.0,1,CHEMBL3430898,CHEMBL3875318
CHEMBL5631198,CCCC[C@@H](C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)SC1=S,6.0655015487564325,0.0,1,CHEMBL6066201,CHEMBL5622563
CHEMBL1901265,CNc1ccc2ncc(-c3ccc(OC)c(OC)c3)n2n1,5.772884917410875,0.0,1,CHEMBL1287620,CHEMBL2354305
CHEMBL572644,Cc1ccc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc1,0.6429999999946685,0.0,1,CHEMBL360,CHEMBL1040362
CHEMBL1796112,CC1CCCN(CCCNC(=O)c2ccc3c(c2)N(Cc2cccc(Cl)c2)C(=O)c2ccccc2[S+]3[O-])C1,3.823908740944319,0.0,1,CHEMBL1744527,CHEMBL1798854
CHEMBL3933712,c1ccc2c(c1)ccn1c3ccccc3cc21,6.853871964321762,0.0,1,CHEMBL3988584,CHEMBL3887424
CHEMBL4592986,COc1cc(OC)cc(C(SCC(=O)N(C)O)P(=O)(O)O)c1,5.356547323513812,0.0,1,CHEMBL5630,CHEMBL4407818
CHEMBL3915173,CC(C)n1cnc(S(=O)(=O)N2CCC(C(=O)Nc3cccc(Br)c3)CC2)c1,5.559090917934782,0.0,1,CHEMBL3988585,CHEMBL3887425
CHEMBL5274759,CCC1=NOC2(CCN(C(=O)CCC(F)(F)F)CC2)C1,7.301029995663981,0.0,1,CHEMBL360,CHEMBL5246902
CHEMBL3818314,COc1ccc2c(c1)cc(C(=O)NS(=O)(=O)Cc1ccc(C(F)(F)F)cc1)n2CC(=O)O,6.6020599913279625,0.0,1,CHEMBL6069,CHEMBL3819980
CHEMBL4564729,C[C@H]1OC(=O)[C@@H](C2CCCCC2)OC(=O)[C@H](C)[C@H](O)[C@H](Cc2cccnc2)NC(=O)[C@H]1NC(=O)c1ncccc1O,4.954677021213342,0.0,1,CHEMBL1849,CHEMBL4380941
CHEMBL1796119,CN(CCCNC(=O)c1ccc2c(c1)N(Cc1ccccc1)C(=O)c1ccccc1S2(=O)=O)C1CCCCC1,3.3010299956639813,0.0,1,CHEMBL1744527,CHEMBL1798854
CHEMBL325149,CCCCCCCCCP(=O)(OCC)OCc1cccc(Oc2ccccc2)c1,4.828858848971618,0.0,1,CHEMBL4624,CHEMBL652028
CHEMBL4756742,CC(C)c1ccc([C@@H]2[C@H]3CSCN3C3(C(=O)c4ccccc4C3=O)[C@]23CSc2ccccc2C3=O)cc1,4.3472703039307525,0.0,1,CHEMBL360,CHEMBL4719106
CHEMBL1773953,CC(C)CCC(=O)N1CCC(c2nc(-c3cccs3)no2)CC1,6.045757490560675,0.0,1,CHEMBL1772929,CHEMBL1776262
